line_name,station_name,city,peak_time_avg,non_peak_avg,total_time_avg
1호선,동대문,종로구,38640.31018518518,24563.594135802465,28082.77314814815
1호선,동묘앞,종로구,28041.731481481478,23146.550925925927,24370.346064814807
1호선,서울,중구,225550.58333333334,85093.3287037037,120207.64236111114
1호선,시청,중구,122178.31018518518,36697.24074074075,58067.50810185185
1호선,신설동,동대문구,60531.70370370371,22795.25925925926,32229.37037037037
1호선,제기동,동대문구,56609.03240740741,36372.88888888888,41431.92476851852
1호선,종각,종로구,178775.96296296295,53637.2237654321,84921.90856481482
1호선,종로3가,종로구,86282.68981481482,51205.904320987655,59975.10069444443
1호선,종로5가,종로구,88998.85648148147,45354.91358024692,56265.899305555555
1호선,청량리,동대문구,75563.00925925926,42449.120370370365,50727.59259259259
2호선,강남,강남구,346253.14351851854,130878.08487654322,184721.849537037
2호선,강변,광진구,130904.13425925923,54815.75771604939,73837.85185185185
2호선,건대입구,광진구,153924.13425925924,70630.57716049385,91453.96643518521
2호선,교대,서초구,149688.25,54007.604938271616,77927.76620370371
2호선,구로디지털단지,구로구,283831.0277777778,81268.64197530862,131909.23842592593
2호선,구의,광진구,107847.00462962962,38487.00308641975,55827.00347222222
2호선,낙성대,관악구,123107.33796296296,44891.26080246913,64445.28009259259
2호선,당산,영등포구,92893.09722222223,29995.445987654326,45719.85879629629
2호선,대림,구로구,104347.4722222222,42828.714506172844,58208.40393518519
2호선,동대문역사문화공원,중구,55748.037037037044,28893.537037037036,35607.16203703704
2호선,뚝섬,성동구,116821.18055555556,35698.09104938271,55978.863425925934
2호선,문래,영등포구,112852.53240740742,30248.83179012346,50899.756944444445
2호선,방배,서초구,76043.33333333333,28008.663580246914,40017.33101851852
2호선,봉천,관악구,103843.94907407409,37949.33487654321,54422.98842592592
2호선,사당,동작구,173983.10185185185,73391.70833333333,98539.55671296293
2호선,삼성,강남구,261413.26388888888,79132.56327160493,124702.73842592594
2호선,상왕십리,성동구,65317.412037037044,22296.097222222215,33051.42592592592
2호선,서울대입구,관악구,200391.3287037037,79277.29320987656,109555.80208333333
2호선,서초,서초구,100253.81018518518,32328.057098765432,49309.49537037036
2호선,선릉,강남구,241948.11574074076,74807.30401234567,116592.50694444444
2호선,성수,성동구,202211.9212962963,60924.208333333336,96246.13657407403
2호선,시청,중구,126511.97222222225,30945.84259259259,54837.37499999998
2호선,신당,중구,63107.7638888889,25812.95216049383,35136.6550925926
2호선,신대방,동작구,113196.24999999999,42156.5,59916.4375
2호선,신도림,구로구,211760.92592592596,85341.95216049383,116946.69560185187
2호선,신림,관악구,251374.39351851854,94532.76851851853,133743.17476851854
