연번,호선,역번호,역명,대합실면적,승강장면적
227,7,2721,중화,7020.19,1909.53
228,7,2722,상봉,7251.41,1755.54
229,7,2723,면목,4739,1847
230,7,2724,사가정,4314.2,1977.4
231,7,2725,용마산,4410.8,2032.8
232,7,2726,중곡,4291.54,1631.97
233,7,2727,군자,5677.38,2276.07
234,7,2728,어린이대공원,7808.41,1870.9
235,7,2729,건대입구,5154.3,2145.61
236,7,2730,뚝섬유원지,3301.64,2466.5
237,7,2731,청담,14394.53,2225.3
238,7,2732,강남구청,7987.99,2371.32
239,7,2733,학동,6935.02,2358.1
240,7,2734,논현,9388.63,2445.93
241,7,2735,반포,10349.1,2052.72
242,7,2736,고속터미널,9484.14,3426.81
243,7,2737,내방,7871.49,2092.4
244,7,2738,이수,12110.1,2724.22
245,7,2739,남성,6731.24,2120.98
246,7,2740,숭실대입구,4425.26,2095.34
247,7,2741,상도,6629.72,1789.3
248,7,2742,장승배기,7239.5,1872.1
249,7,2743,신대방삼거리,6945.26,1787
250,7,2744,보라매,6682.25,1740.8
251,7,2745,신풍,5177.22,2749.97
252,7,2746,대림,7052.63,2304.9
253,7,2747,남구로,6638.54,1554.9
254,7,2748,가산디지털단지,10116.83,2434.7
255,7,2749,철산,5354.81,2051.4
256,7,2750,광명사거리,6693.2,2020.38
257,7,2751,천왕,3516.25,1791.84
258,7,2752,온수,8575.46,2711.92
259,8,2811,암사,3474.6,1412.8
260,8,2812,천호,2258.9,2878.6
261,8,2813,강동구청,3957.4,1655.8
262,8,2814,몽촌토성,6041.7,1373
263,8,2815,잠실,13040.93,2654.41
264,8,2816,석촌,5349.45,1641.75
265,8,2817,송파,3164.49,1914.7
266,8,2818,가락시장,5110.63,2617.5
267,8,2819,문정,3278.75,1915.2
268,8,2820,장지,4099.74,1628.15
269,8,2821,복정,4444.3,2141.55
270,8,2828,남위례,4177.54,2168.78
271,8,2822,산성,2874.59,2263.2
272,8,2823,남한산성입구,3932.29,1480
273,8,2824,단대오거리,6496.42,1636.8
274,8,2825,신흥,3196.61,1665
275,8,2826,수진,3402.31,1665
276,8,2827,모란,7758.77,2160
